LAMBDA VAC ANG	SPECTRUM	TT	TERM	J J	LEVEL ENERGY  CM 1	LINE
3727.092	[O II]	E2	4So-2Do	3/2-3/2	0.00 -    26830.57	O2_3726A
3729.875	[O II]	E2	4So-2Do	3/2-5/2	0.00 -    26810.55	O2_3729A
4341.684	H I	E1	2-5	*-*	82259.11 -   105291.66	H1r_4341A
4364.436	[O III]	E2	1D-1S	2-0	20273.27 -    43185.74	O3_4363A
4862.683	H I	E1	2-4	*-*	82259.11 -   102823.90	H1r_4861A
4932.603	[O III]	E2	3P-1D	0-2	0.00 -    20273.27	O3_4931A
4960.295	[O III]	M1	3P-1D	1-2	113.18 -    20273.27	O3_4959A
5008.24	[O III]	M1	3P-1D	2-2	306.17 -    20273.27	O3_5007A
5756.24	[N II]	E2	1D-1S	2-0	15316.19 -    32688.64	N2_5755A
6529.04	[N II]	E2	3P-1D	0-2	0.00 -    15316.19	N2_6527A
6549.85	[N II]	M1	3P-1D	1-2	48.67 -    15316.19	N2_6548A
6564.61	H I	E1	2-3	*-*	82259.11 -    97492.31	H1r_6563A
6585.28	[N II]	M1	3P-1D	2-2	130.80 -    15316.19	N2_6584A
6718.29	[S II]	E2	4So-2Do	3/2-5/2	0.00 -    14884.73	S2_6716A
6732.67	[S II]	E2	4So-2Do	3/2-3/2	0.00 -    14852.94	S2_6731A
4712.69	[Ar IV]	E2	4So-2Do	3/2-5/2	0.00 -    21219.30	Ar4_4711A
4741.49	[Ar IV]	E2	4So-2Do	3/2-3/2	0.00 -    21090.40	Ar4_4740A
4102.892	H I	E1	2-6	*-*	82259.11 -   106632.17	H1r_4102A
4985.989	[Fe III]	E1	5G-3Fo	2-2	186268.69 -   206324.89	Fe3_4987A
7322.01	[O II]	M1	2Do-2Po	5/2-3/2	26810.55 -    40468.01	O2_7319A+
7332.75	[O II]	M1	2Do-2Po	3/2-3/2	26830.57 -    40468.01	O2_7330A+
4069.749	[S II]	M1	4So-2Po	3/2-3/2	0.00 -    24571.54	S2_4069A
4077.500	[S II]	M1	4So-2Po	3/2-1/2	0.00 -    24524.83	S2_4076A
6302.046	[O I]	M1	3P-1D	2-2	0.00 -    15867.86	O1_6300A
6365.536	[O I]	M1	3P-1D	1-2	158.26 -    15867.86	O1_6364A
6393.500	[O I]	E2	3P-1D	0-2	226.98 -    15867.86	O1_6392A
5578.8874	[O I]	E2	1D-1S	2-0	15867.86 -    33792.58	O1_5577A
3971.195	H I	E1	2-7	*-*	82259.11 -   107440.45	H1r_3970A
3890.151	H I	E1	2-8	*-*	82259.11 -   107965.06	H1r_3889A
3836.472	H I	E1	2-9	*-*	82259.11 -   108324.73	H1r_3835A
3798.976	H I	E1	2-10	*-*	82259.11 -   108581.99	H1r_3798A
3870.16	[Ne III]	M1	3P-1D	2-2	0.00 -    25838.70	Ne3_3869A
3343.50	[Ne III]	E2	1D-1S	2-0	25838.70 -    55747.50	Ne3_3343A
3968.91	[Ne III]	M1	3P-1D	1-2	642.88 -    25838.70	Ne3_3968A
4472.72514	He I	E1	3Po-3D	2-1	169086.87 -   191444.60	He1r_4471A
5017.0765	He I	E1	1S-1Po	0-1	166277.54 -   186209.47	He1r_5016A
5877.227156	He I	E1	3Po-3D	2-1	169086.87 -   186101.70	He1r_5876A
6679.99556	He I	E1	1Po-1D	1-2	171135.00 -   186105.07	He1r_6678A
7067.127	He I	E1	3Po-3S	2-1	169086.87 -   183236.89	He1r_7065A
5193.27	[Ar III]	E2	1D-1S	2-0	14010.00 -    33265.70	Ar3_5192A
7753.2	[Ar III]	M1	3P-1D	1-2	1112.18 -    14010.00	Ar3_7751A
7137.8	[Ar III]	M1	3P-1D	2-2	0.00 -    14010.00	Ar3_7136A
