Amplitude Wavelength Sigma "Lambda Vac" Element Flux Flux_Err
1079.2864742072811 3725.375447265625 2.1863327946508195 3727.092 "[O II]" 5898.870277233583 6.549061640215292e-11
2628.8627144291045 3728.730019163703 2.1863327946508195 3729.875 "[O II]" 14368.122365714604 1.5951820246662418e-10
601.3436450536518 4341.458824293046 2.5151059262035376 4341.684 "H I" 3780.897016674919 4.19763893783065e-11
280.7771310867279 4364.402655718835 3.3854340116123396 4364.436 "[O III]" 2376.2488913172797 2.638166247959095e-11
1219.5792877345787 4862.530203632379 2.735790309282091 4862.683 "H I" 8340.81884788793 9.260169107211391e-11
209.36577097471786 4943.724826171875 3.6400259907953965 4932.603 "[O III]" 1905.136104140951 2.1151259780097242e-11
3977.50529610252 4960.218717258731 3.0384548052698266 4960.295 "[O III]" 30211.993983831995 3.354205142802602e-10
11772.102157351062 5008.170791235847 3.014854152970397 5008.24 "[O III]" 88722.99050053961 9.850230631158752e-10
23.651172256592435 5756.162712478277 3.4042714286789564 5756.24 "[N II]" 201.27632443504993 2.234616083753721e-12
139.29002652231952 6535.0858984375 4.812933622282147 6529.04 "[N II]" 1675.8908709371726 1.8606126405210088e-11
673.6878575117008 6550.906085273853 4.812933622282147 6549.85 "[N II]" 8105.5862968348965 8.999008569571254e-11
3674.3645309904878 6564.620269414052 3.540515609005565 6564.61 "H I" 32521.052728988303 3.6105621617488204e-10
1170.2682291838626 6584.49006900376 4.827241166978087 6585.28 "[N II]" 14122.131572269558 1.5678715617473138e-10
673.880160922023 6718.2967632944 3.458924179450884 6718.29 "[S II]" 5826.926703907093 6.469188205959764e-11
715.414661014072 6732.5156756962515 3.4335917895639105 6732.67 "[S II]" 6140.763048576224 6.817616523407954e-11
