Amplitude Wavelength Sigma "Lambda Vac" Element Flux Flux_Err FWHM eqWidth
296.84732826214685 3726.8868026200953 1.2342848038511454 3727.092 "[O II]" 915.9343965654965 1.0168914538546958e-11 5.14794921875 122.79897953767795
411.66263725021525 3729.6385710055447 1.1036110398462173 3729.875 "[O II]" 1135.7253778496047 1.2609084566392315e-11 5.14794921875 122.79897953767795
148.62538973507458 4341.460037080562 1.196290552305108 4341.684 "H I" 444.4731402002383 4.934643134651279e-12 3.0009765625 41.44571679350338
15.450883282770896 4364.11797267516 1.252269291028585 4364.436 "[O III]" 48.36897503268378 5.370034996646407e-13 4.02001953125 11.328278541564941
311.21906703472797 4862.579836964748 1.2574420571089926 4862.683 "H I" 978.2954201573849 1.0861261000826017e-11 3.35693359375 104.18116065504728
1.3461490033034686 4775.583768067226 0.016792288553418785 4932.603 "[O III]" 0.05650916166605471 6.273777230117999e-16 0.0 6.101359730295371
455.2840690731086 4960.20385815169 1.2455299076324906 4960.295 "[O III]" 1417.595925857604 1.573847627743541e-11 2.28466796875 145.1351545509533
1331.74652195191 5008.17333244319 1.2652018381157533 5008.24 "[O III]" 4212.085977468869 4.676354876248512e-11 3.45703125 432.86070929172274
0.0 5756.24 0.0 5756.24 "[N II]" 0.0 0.0 0.0 0.0
0.0 6529.04 0.0 6529.04 "[N II]" 0.0 0.0 0.0 0.0
10.459158397038323 6549.83562305215 1.735345806509856 6549.85 "[N II]" 45.37311676822038 5.037427926505265e-13 3.0166015625 17.351518603158183
698.8743599467482 6564.640076221445 1.7695874796034992 6564.61 "H I" 3091.626252281282 3.4323946462855304e-11 3.02294921875 481.7102355957031
30.947599541576963 6585.227979061852 1.8663632038313485 6585.28 "[N II]" 144.39061762978565 1.6030578828350045e-12 4.5458984375 39.30234146118164
53.302485236177475 6718.351989455411 1.7919029051218438 6718.29 "[S II]" 238.7689085164019 2.6508673999382087e-12 4.64453125 50.241228926053736
36.67069237539935 6732.621948628555 1.7854868540507849 6732.67 "[S II]" 163.67848964650065 1.817196268677837e-12 4.65478515625 37.29288864135742
