ObjID ra dec z
Mrk477 220.1587371826172 53.50440979003906 0.03772599995136261 1
NGC3227 243.5550079345703 26.071170806884766 0.003859
cg922 1 1 0
CygA 1 1 0.056075 0
NGC5252 1 1 0.022975 0




"SDSS J003755.01+151546.0" 9.479220390319824 15.262789726257324 0.08703099936246872 1

"FGC 0061" 8.681289672851562 -0.04075000062584877 0.04219900071620941 1
"SDSS J002312.34+003956.3" 5.8014302253723145 0.66566002368927 0.07252100110054016 1
"2MASX J00471794+1532314" 11.824799537658691 15.54224967956543 0.07990700006484985 1
"SDSS J005051.46-084100.0" 12.714420318603516 -8.68336009979248 0.09653999656438828 1
"SDSS J004335.93+151124.0" 10.899749755859375 15.190030097961426 0.079196996986866 1
"UGC 00615" 14.917140007019043 15.33098030090332 0.018369000405073166 1
"2MFGC 00913" 18.38775062561035 0.4966700077056885 0.04416700080037117 1
"2MASX J01123792+0005109" 18.157960891723633 0.08631999790668488 0.06783299893140793 1
"2MASX J00102892+0103010" 2.62037992477417 1.0503699779510498 0.08035299926996231 1

circinus 183.53945 54.526858 -0.000467657023081 1
NGC4194 183.53945 54.526858 0.00817774 1
"MCG +00-02-007" 5.144579887390137 -0.47075000405311584 0.071683 1
MRK996 21.89803068 -6.32653388 0.005410 1
"NGC 0291" 13.374670028686523 -8.767800331115723 0.019029000774025917 1
"NGC 0426" 18.202529907226562 -0.2901900112628937 0.017343 1
NGC450	18.87684 -0.86097 0.005874 1
NGC3982	179.1172 55.12524 0.003699 1



NGC4194 183.53945 54.526858 0.00817774 1
Q0052-0038i 1 1 0.16738 1
MRK34 1 1 0.0509526 1

MRK926 346.18115234375 -8.68572998046875 0.04686 1
PG1259+593 195.30381877 59.0351832 0.477800 1
"LBQS 0025+0009" 6.9683332443237305 0.4376944303512573 0.205492 1
"SDSS J013046.15-000800.8" 22.69237518310547 -0.13358333706855774 0.253496 1
"SDSS J020431.63+002400.5" 31.131834030151367 0.40016666054725647 0.171128 1
"SDSS J033854.24+005339.6" 54.72603988647461 0.894361138343811 0.278939 1



Prueba: -----------------------------------------------------------------
"KUG 0028+000" 7.740479946136475 0.3675999939441681 0.068422 1
Mrk477 220.1587371826172 53.50440979003906 0.03772599995136261 1
cg922 1 1 0 1
SDSS 254.30315 32.19484 0.038348 1
3C433 1 1 0.1026 1

"2MASX J00440431+0002391" 11.01809024810791 0.04408000037074089 0.066187 1
"2MFGC 00638" 13.233369827270508 15.785539627075195 0.052051 1

"2MASX J00013021-0014459" 0.376010000705719 -0.2462500035762787 0.088797 1
"2MASX J00165522-0027390" 4.229939937591553 -0.46086999773979187 0.064529 1
"2MASX J00255103+0031283" 6.46258020401001 0.5245199799537659 0.06453800201416016 1
"2MASX J00291312+1423407" 7.304679870605469 14.394570350646973 0.094344 1

"2MASX J00343410+1526096" 8.64214038848877 15.43591022491455 0.093003 1
"2MASX J00384309+0034512" 9.679450035095215 0.581059992313385 0.043031 1
"2MASX J00471443+1524143" 11.810090065002441 15.404000282287598 0.078623 1
"2MASX J00475976+1344343" 11.999119758605957 13.74269962310791 0.056573 1

"2MASX J00504888+0039318" 12.703940391540527 0.6587200164794922 0.06748700141906738 1
"2MASX J00581700+0022566" 14.570929527282715 0.38231998682022095 0.079621 1
"2MASX J01021132+1430215" 15.547209739685059 14.50609016418457 0.05711299926042557 1
"2MASX J01071663-0038370" 16.81926918029785 -0.6437100172042847 0.044477999210357666 1

"2MASX J01095132+0002460" 17.463930130004883 0.046229999512434006 0.085659 1
"2MASXi J0112164+143443" 18.0687198638916 14.578539848327637 0.094265 1
   ******    3C033 1 1 0.059700 1
3C098 1 1 0.030454 1

   ******    3C327 1 1 0.104800 1
"MRK 0955" 9.399189949035645 0.2806900143623352 0.0350009985268116 1

   ******    MRK198 1 1 0.024220 1
MRK290 233.96835 57.902639 0.029577 1
MRK817 219.09285 58.790955 0.031455 1

NGC3227 220.1587371826172 53.50440979003906 0.003859 1
NGC7469 1 1 0.014318374681 1

PG1612+261 243.5550079345703 26.071170806884766 0.1309880018234253 1
Q0052-0038i 1 1 0.16738 1
"SDSS J005051.46-084100.0" 12.714420318603516 -8.68336009979248 0.09654 1

"SDSS J011016.00+150515.9" 17.566680908203125 15.087750434875488 0.059716 1
"SDSS J001108.99+003846.4" 2.787480115890503 0.6462399959564209 0.06515000015497208 1

"SDSS J125246.32+001454.4SP1" 193.19320678710938 0.24844443798065186 0.32862 1 "Liner"



**************    "NL SY1"


"LBQS 0006+0015" 2.1446666717529297 0.5322777628898621 0.26379 1
"LBQS 0020-0124" 5.770999908447266 -1.1287221908569336 0.166296 1
"SDSS J003238.19-010035.3" 8.15916633605957 -1.0098333358764648 0.091883 1

"SDSS J005446.15+004204.1" 13.692333221435547 0.7011111378669739 0.234286 1
"2MASX J01022632-0039045" 15.60966682434082 -0.6512777805328369 0.291345 1
"SDSS J010712.03+140844.9" 16.800167083740234 14.145833015441895 0.076835 1
"NGC 450-86" 19.871124267578125 -0.14436110854148865 0.0904 1

"2MASX J01352169-0044017" 23.840333938598633 -0.7339166402816772 0.098381 1
"SDSS J013859.33+132108.1" 24.747249603271484 13.352277755737305 0.243351 1
"SDSS J013940.98-010944.4" 24.920791625976562 -1.162333369255066 0.193898 1

"SDSS J014559.44+003524.6" 26.497709274291992 0.5902222394943237 0.16553 1
"2MASX J01464481-0040426" 26.686792373657227 -0.6786666512489319 0.08279 1
"SDSS J0156-0012" 29.21845817565918 -0.2061111181974411 0.162947 1

"SDSS J021652.47-002335.3" 34.218624114990234 -0.3931666612625122 0.304722 1
"SDSS J0227+0057" 36.984500885009766 0.9592221975326538 0.128274 1
"SDSS J0228+0052" 37.17279052734375 0.8690555691719055 0.186225 1
"SDSS J023414.57+005707.9" 38.560707092285156 0.9522222280502319 0.26915 1

"2MASX J02491286-0815254" 42.30362319946289 -8.257139205932617 0.029439 1
"SDSS J030031.30+005357.2" 45.13045883178711 0.899222195148468 0.198277 1
"KUG 0301+002" 46.0740852355957 0.4742777645587921 0.044491 1
"2MASX J03063958+0003426" 46.6649169921875 0.06199999898672104 0.107325 1

"SDSS J032337.64+003555.5" 50.90683364868164 0.5988055467605591 0.215677 1
"SDSS J032515.58+003408.3" 51.31495666503906 0.5690000057220459 0.102084 1
"2MASX J03260674+0114297" 51.5282096862793 1.2415833473205566 0.127324 1
"SDSS J033429.44+000610.9" 53.62266540527344 0.10305555909872055 0.348053 1

"SDSS J034131.94-000932.9" 55.38308334350586 -0.15913888812065125 0.223219 1
"SDSS J034430.03-005842.6" 56.125125885009766 -0.9785277843475342 0.286606 1
"SDSS J044428.77+122111.7" 71.11991882324219 12.353249549865723 0.0889 1


*****************   "SY2"


"2MASX J00002629+0035503" 0.10962499678134918 0.5974444150924683 0.103908 1
"SDSS J000259.42+001815.6" 0.7475833296775818 0.30433332920074463 0.06226 1

"2MASX J00034461+0034294" 0.9357083439826965 0.5747222304344177 0.099657 1
"2MASX J00043193-0114116" 1.1330000162124634 -1.2365833520889282 0.088704 1

"2MASX J00070979+0104004" 1.790958285331726 1.0666944980621338 0.080301 1
"2MASX J00073554+0047455" 1.8981250524520874 0.7958333492279053 0.100511 1
"2MASX J00075612-0033005" 1.9838333129882812 -0.5501388907432556 0.084192 1

"SDSS J000819.72-000002.7" 2.0821666717529297 -0.0007777777500450611 0.078852 1
"2MASX J00090793+1427558" 2.2829582691192627 14.465499877929688 0.041437 1
"SDSS J000908.27-011013.8" 2.2844583988189697 -1.1705000400543213 0.12754 1
"2MASX J00100554+0040247" 2.5230000019073486 0.6735000014305115 0.062778 1

"SDSS J001014.86+000820.8" 2.5619583129882812 0.13911111652851105 0.102242 1
"2MASX J00102892+0103010" 2.620374917984009 1.050361156463623 0.080353 1

"2MASX J00114518-0054303" 2.9384167194366455 -0.9085277915000916 0.04798 1
"2MASX J00123801-0008044" 3.1583750247955322 -0.13441666960716248 0.039317 1
"2MASX J00133759+0101186" 3.406541585922241 1.0217499732971191 0.070205 1
"SDSS J001340.40-000733.3" 3.418375015258789 -0.12591665983200073 0.103997 1

"SDSS J001620.79+011113.7" 4.086625099182129 1.187166690826416 0.04388 1
"2MASX J00162972+0018523" 4.123791694641113 0.3145555555820465 0.114261 1
"2MASX J00163313+0009133" 4.137958526611328 0.15377777814865112 0.127799 1

"2MASX J00175319-0007151" 4.471624851226807 -0.1210833340883255 0.157321 1
"SDSS J001802.82-004534.1" 4.511750221252441 -0.7594722509384155 0.063692 1
